Timestamp;Throughput
2024-02-10 13:58:14;3242.565221989242
2024-02-10 13:58:14;3704.1443612129633
2024-02-10 13:59:06;3555.77133141014
2024-02-10 13:59:27;3533.1233043486554
2024-02-10 13:59:30;2227.5185753379633
2024-02-10 14:04:47;3606.2504329402873
2024-02-10 14:07:06;3363.945731513085
2024-02-10 14:11:57;3441.6613627267852
2024-02-10 15:01:32;3436.338498447992
2024-02-10 15:05:13;2907.3436488453576
2024-02-10 15:05:19;3621.9002510749297
2024-02-10 15:05:25;3681.1423395406564
2024-02-10 16:30:33;3385.491029819378
2024-02-10 16:31:25;3626.5859229193043
2024-02-10 16:37:04;3799.4091808725557
2024-02-10 16:44:27;3648.972016923626
2024-02-10 16:46:13;3564.7376936929427
2024-02-10 18:00:00;3478.7075935996245
2024-02-10 18:00:01;2178.56454603543
2024-02-10 18:01:18;3142.7423947250113
2024-02-10 18:01:20;3315.3808880016645
2024-02-10 18:03:16;3095.304468178872
2024-02-10 18:03:34;3262.3708377085136
2024-02-10 18:04:16;3605.934545973623
2024-02-10 18:06:09;3493.1277980222726
2024-02-10 18:07:41;2978.78933897919
2024-02-10 18:10:29;3692.52165824367
2024-02-10 18:10:29;3841.8205856277013
2024-02-10 18:14:09;3683.368645700173
